Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T
All_BS	97.4079476403318	0.00042920192053103	0	0	0	0
All_PM	31.9048244214048	0.499541285177271	0.500013592969285	1	0.5	1
Cluster_1	59.0906035900793	0.0435770649334442	3.92129280243102e-298	4.58791257884429e-296	0	0
Cluster_10	57.1250970658476	0.0507208737168212	5.97308061084109e-289	6.86904270246725e-287	0	0
Cluster_100	35.2331124399613	0.425968149675948	1.0962644333611e-09	8.7701154668888e-08	2.3626642049385e-10	1.93738464804957e-08
Cluster_101	77.0163856182844	0.00447584242471259	0	0	0	0
Cluster_102	30.459885735908	0.547314241577439	0.999934264138425	1	0.997661491898871	1
Cluster_103	32.1656426520373	0.485118751486185	0.114561058395778	1	0.297806813915289	1
Cluster_104	32.5667084690589	0.503301228917247	0.605183709107689	1	0.114875971495334	1
Cluster_105	30.2044365298759	0.534154016874634	0.997111222544387	1	0.999817751505553	1
Cluster_106	30.1900197367784	0.535464389732208	0.997921812930741	1	0.999821009578457	1
Cluster_107	33.8402368780542	0.468524068193355	0.00548399006690533	0.334523394081225	0.000208241097825044	0.014368635749928
Cluster_108	53.8454566663528	0.0756036231725189	4.28154734949498e-258	4.79533303143438e-256	0	0
Cluster_109	31.3304969835855	0.507490374577755	0.727520861231533	1	0.87625458921011	1
Cluster_11	51.8842884578747	0.0910228497321072	7.43649817198641e-240	8.10578300746519e-238	1.38310263385639e-309	1.50758187090347e-307
Cluster_110	33.5359323922059	0.451426822337388	4.32882318916396e-05	0.00311675269619805	0.000465932500551074	0.031217477536922
Cluster_111	31.9762065205388	0.520658188312553	0.952489336150431	1	0.449278374231496	1
Cluster_112	31.0405627291027	0.514269909825435	0.875589579625526	1	0.965482964503421	1
Cluster_113	32.598501670754	0.464361062531937	0.00198743444907645	0.12322093584274	0.0653175834495521	1
Cluster_114	31.9298905765196	0.51541585365648	0.893586092031768	1	0.481854399270467	1
Cluster_115	30.5689692324138	0.519373955454069	0.941290566487648	1	0.998060964880176	1
Cluster_116	32.9042933643114	0.486546332726773	0.138462328741436	1	0.0319373295821377	1
Cluster_117	51.543701288906	0.0968166540463875	3.55509578109077e-233	3.76840152795622e-231	1.00686770116169e-293	1.06727976323139e-291
Cluster_118	31.8349551508828	0.485352325026435	0.11825658316906	1	0.558709417740032	1
Cluster_119	51.8565079766232	0.0936908160907716	9.09900188622068e-237	9.73593201825613e-235	4.36097165836403e-307	4.66623967444951e-305
Cluster_12	34.2304568928701	0.438490895691285	3.3331974619339e-07	2.5665620456891e-05	2.02141370947873e-06	0.000151606028210905
Cluster_120	37.7612653434626	0.317355610234063	1.31958176488706e-49	1.17442777074948e-47	2.14464034978993e-39	1.90872991131304e-37
Cluster_121	68.9604243861229	0.0120969169979139	0	0	0	0
Cluster_122	34.4061218327437	0.438730371811974	3.68245819032036e-07	2.79866822464347e-05	8.4933312269348e-07	6.60025348022103e-05
Cluster_123	36.5516768739472	0.358212428810664	1.06566339133279e-30	9.27127150459527e-29	9.32025222591378e-24	8.10861943654499e-22
Cluster_124	30.7148564383627	0.521828585691133	0.96113991552476	1	0.994259768749748	1
Cluster_125	33.7675762654341	0.439383871789207	4.82430415009756e-07	3.61822811257317e-05	5.11298728725762e-05	0.00368135084682549
Cluster_126	32.8309763546091	0.487079251417884	0.148199636069685	1	0.0406733579466671	1
Cluster_127	32.6057081150368	0.483560470250151	0.0919973597654074	1	0.0829524580777567	1
Cluster_128	35.1482141111186	0.431096648852117	1.2854291012757e-08	1.0154889900078e-06	1.10565573454076e-09	8.95581144978016e-08
Cluster_129	28.5373155215328	0.572335280060577	0.999999997478583	1	0.99999999999998	1
Cluster_13	31.896499190512	0.504544143712656	0.643277579802666	1	0.506390018852377	1
Cluster_130	33.660901965519	0.445046132882264	4.47544313991006e-06	0.000331182792353344	0.000153776247048101	0.0107643372933671
Cluster_131	55.2047523812995	0.0680930111761145	3.18487668408419e-267	3.59891065301513e-265	0	0
Cluster_132	42.6946539965074	0.220100478783596	1.37771067403995e-113	1.33637935381875e-111	3.63774233864983e-112	3.52861006849034e-110
Cluster_133	32.8768285962662	0.483821870241045	0.0955332945861303	1	0.0313330568446292	1
Cluster_134	34.4997605110416	0.459270508515737	0.000498200824254908	0.0318848527523141	2.99362037245717e-06	0.000221527907561831
Cluster_14	63.2528560867815	0.029659623482826	0	0	0	0
Cluster_15	41.4066299357994	0.240032649702088	2.70312158457589e-98	2.54093428950134e-96	1.25583080041316e-91	1.18048095238837e-89
Cluster_16	35.1536438230712	0.392932250181715	2.51594904431268e-18	2.11339719722265e-16	1.05151440390294e-12	8.8327209927847e-11
Cluster_17	53.0243861182521	0.0812254094282761	2.28975528684741e-251	2.51873081553215e-249	0	0
Cluster_18	31.0431858812833	0.498357396186258	0.447196933119423	1	0.974929450642856	1
Cluster_19	69.969502352143	0.0127942647155546	0	0	0	0
Cluster_2	50.4019366926513	0.109913636815912	1.99240930230561e-218	2.07210567439783e-216	5.41078079510414e-270	5.62721202690831e-268
Cluster_20	85.7647919021264	0.00171680768212412	0	0	0	0
Cluster_21	62.5391699473395	0.0247916810717737	0	0	0	0
Cluster_22	49.6358084679518	0.113019237352878	5.31260409011125e-215	5.47198221281459e-213	1.2588881118092e-259	1.29665475516348e-257
Cluster_23	51.5790622915358	0.0916181671307219	3.64816828435246e-239	3.94002174710066e-237	1.34403834930149e-307	1.45156141724561e-305
Cluster_24	92.6593290749387	0.000747098038488197	0	0	0	0
Cluster_25	64.8799096521341	0.0250572971915522	0	0	0	0
Cluster_26	74.5502210430404	0.00518752498056365	0	0	0	0
Cluster_27	30.9911276395928	0.516034781376853	0.902485677607793	1	0.970613837912344	1
Cluster_28	31.0259286567887	0.526589438428497	0.984175542969124	1	0.955760860700636	1
Cluster_29	38.6749548099233	0.308371039579332	2.14204688288799e-54	1.92784219459919e-52	2.92581864659388e-47	2.63323678193449e-45
Cluster_3	34.1257584298696	0.458800831757906	0.000435014118376016	0.028275917694441	2.48407340581744e-05	0.00181337358624673
Cluster_30	64.6904037798164	0.0262546777949983	0	0	0	0
Cluster_31	39.7229873855042	0.282160209524741	1.13447325319319e-69	1.05506012546967e-67	3.18716627394228e-61	2.96406463476632e-59
Cluster_32	33.2754677142196	0.457019095690948	0.000256870169817008	0.0174671715475565	0.00285349724069576	0.176916828923137
Cluster_33	33.0562748959609	0.474548916370554	0.0198517158769659	1	0.0139673824834531	0.838042949007186
Cluster_34	41.720664217617	0.229100227502315	1.52527268782799e-106	1.46426178031487e-104	1.16409637785669e-100	1.10589155896386e-98
Cluster_35	68.2737697988058	0.0159142000907311	0	0	0	0
Cluster_36	70.1695306457063	0.0131796188956778	0	0	0	0
Cluster_37	31.5980702545456	0.50606195011139	0.687895741593527	1	0.727717800480726	1
Cluster_38	32.5412301424428	0.514447830464398	0.878515276301738	1	0.13391079946548	1
Cluster_39	33.8959334134953	0.449154328868172	1.98622148095777e-05	0.00144994168109917	5.2450764942384e-05	0.00372400431090926
Cluster_4	47.3034927001189	0.149620295432583	1.10345328703988e-176	1.11448781991028e-174	3.23377773440603e-199	3.26611551175009e-197
Cluster_40	30.2926706564614	0.527311239693673	0.986348176980753	1	0.999703143986673	1
Cluster_41	45.4895542408278	0.165572440683283	3.59307118705548e-161	3.59307118705548e-159	2.27513783053087e-173	2.27513783053087e-171
Cluster_42	29.7935946008263	0.564777447420657	0.999999917493561	1	0.99995410970011	1
Cluster_43	32.7275981726548	0.486194707577733	0.132281648363604	1	0.0590091218108023	1
Cluster_44	43.008235891956	0.206762333441828	1.8946460636636e-124	1.85675314239033e-122	2.97001591412601e-124	2.91061559584349e-122
Cluster_45	29.4980319833023	0.553750583933851	0.999992999203567	1	0.999999807523924	1
Cluster_46	33.4246333789682	0.458082403395839	0.000352590149927649	0.0232709498952248	0.00125518074263901	0.0815867482715357
Cluster_47	36.5833985314055	0.378185917792233	3.62474268795779e-23	3.1172787116437e-21	1.00010916594358e-20	8.50092791052043e-19
Cluster_48	29.7826336452521	0.541584522422217	0.999611189232623	1	0.999995777965031	1
Cluster_49	39.0610976698236	0.295752165825408	1.65479142352232e-61	1.52240810964053e-59	3.41306685164314e-53	3.14002150351169e-51
Cluster_5	38.633747631187	0.299212764414523	1.63658148097018e-59	1.48928914768286e-57	7.51240334590007e-50	6.83628704476906e-48
Cluster_50	29.6290427231778	0.557856250242427	0.99999853476796	1	0.999997788180639	1
Cluster_51	52.6237452257872	0.0810154462097845	1.28858740446701e-251	1.43033201895838e-249	0	0
Cluster_52	31.561351742295	0.50139806833839	0.544978556100232	1	0.757073364670102	1
Cluster_53	34.4517137021962	0.407536920640649	3.93803546773929e-14	3.26856943822361e-12	7.7776835838759e-09	6.22214686710072e-07
Cluster_54	33.5496865101444	0.453274330014959	7.96451247063778e-05	0.00557515872944645	0.000478102828056039	0.0315547866516986
Cluster_55	32.5504706511942	0.499167736158027	0.473187704172482	1	0.119241841049372	1
Cluster_56	94.9817357346199	0.000511838046684352	0	0	0	0
Cluster_57	34.5013307239095	0.451545717171956	4.50492252466811e-05	0.00319849499251436	1.18648055545106e-06	9.01725222142806e-05
Cluster_58	58.7420439798036	0.0443115145852763	3.50085317396089e-297	4.06098968179463e-295	0	0
Cluster_59	30.7238732944781	0.528152779019194	0.988551767558623	1	0.991063128594577	1
Cluster_6	42.599505587893	0.229725057803127	4.61207923267492e-106	4.38147527104117e-104	4.51837067074038e-104	4.33763584391076e-102
Cluster_60	50.9359982649059	0.102300994500481	6.10838074585614e-227	6.41379978314895e-225	8.92153563540549e-286	9.36761241717577e-284
Cluster_61	62.5666117553394	0.0349196658802181	0	0	0	0
Cluster_62	66.3263425141605	0.0177237626083334	0	0	0	0
Cluster_63	33.0902181210087	0.481371456132865	0.0661029525257638	1	0.0152245475319514	0.898248304385133
Cluster_64	37.5227700463009	0.389496105140136	2.12356841856458e-19	1.80503315577989e-17	3.44960589300821e-23	2.96666106798706e-21
Cluster_65	31.4353080846409	0.513242860828958	0.857739301950394	1	0.816773292451014	1
Cluster_66	29.6490432953741	0.553028782668675	0.999990883734308	1	0.999998883544426	1
Cluster_67	92.0694617583241	0.000228514185587248	0	0	0	0
